Station,Date,Tmax,Tmin,Tavg,DewPoint,PrecipTotal,StnPressure,SeaLevel,AvgSpeed,Rain,Mist,RelativeHumidity
2,2007-05-17,61,44,52.5,32,0.0,29.62,30.27,12.2,0,0,45.40595023757723
1,2007-05-18,71,42,56.5,30,0.0,29.53,30.25,7.5,0,0,36.18863805757091
2,2007-05-18,70,43,56.5,31,0.0,29.6,30.26,5.5,0,0,37.68783913042731
1,2007-05-19,80,56,68.0,39,0.0,29.34,30.08,11.4,0,0,34.52768660164003
2,2007-05-19,80,56,68.0,37,0.0,29.41,30.08,11.4,0,0,31.921967677082066
1,2007-05-20,69,43,56.0,40,0.07,29.38,30.11,10.7,1,0,54.84885958603458
2,2007-05-20,69,44,56.5,41,0.11,29.44,30.11,9.7,1,0,55.99585753151277
1,2007-05-21,80,44,62.0,50,0.0,29.33,30.06,8.2,0,0,64.73130403319603
2,2007-05-21,79,46,62.5,50,0.0,29.39,30.05,7.8,0,0,63.599539558892396
1,2007-05-22,87,55,71.0,46,0.0,29.34,30.06,10.2,0,0,40.78437873189862
2,2007-05-22,87,60,73.5,44,0.0,29.41,30.05,10.6,0,0,34.73336308132165
1,2007-05-23,89,60,74.5,49,0.0,29.39,30.1,11.8,0,0,40.569029006255334
2,2007-05-23,89,66,77.5,48,0.0,29.47,30.1,11.2,0,0,35.363404218479076
1,2007-05-24,88,63,75.5,54,0.02,29.41,30.11,17.3,1,1,47.19770234834596
2,2007-05-24,88,66,77.0,53,0.0,29.47,30.1,15.2,1,1,43.285691086399886
1,2007-05-25,70,56,63.0,44,0.0,29.51,30.24,8.8,0,0,49.84159040609186
2,2007-05-25,66,57,61.5,46,0.09,29.57,30.23,8.2,1,1,56.70246952870019
1,2007-05-26,65,49,57.0,55,1.01,29.36,30.11,7.2,1,1,93.00883719986737
2,2007-05-26,70,50,60.0,55,0.28,29.42,30.1,7.8,1,1,83.52505989004503
1,2007-05-27,75,57,66.0,47,0.04,29.34,30.06,9.5,1,1,50.29229115862627
2,2007-05-27,75,59,67.0,49,0.08,29.41,30.05,9.2,1,1,52.36594383575726
1,2007-05-28,79,50,64.5,47,0.0,29.43,30.15,5.3,1,0,52.989661348894536
2,2007-05-28,76,54,65.0,49,0.0,29.49,30.14,5.2,0,0,56.13141013840536
1,2007-05-29,88,60,74.0,58,0.0,29.39,30.11,6.5,0,1,57.36879214984288
2,2007-05-29,88,65,76.5,59,0.0,29.44,30.09,7.4,0,1,54.69940977805267
1,2007-05-30,87,66,76.5,58,0.0,29.31,30.04,10.6,0,1,52.77322617463327
2,2007-05-30,89,70,79.5,57,0.0,29.38,30.03,10.1,0,1,46.10580577170412
1,2007-05-31,78,65,71.5,61,0.01,29.28,30.0,9.9,1,1,69.47432280391081
2,2007-05-31,80,68,74.0,61,0.53,29.34,29.99,9.2,1,1,63.85321833711421
1,2007-06-01,85,62,73.5,63,0.19,29.19,29.91,6.4,0,1,69.6875095644548
2,2007-06-01,86,67,76.5,63,0.21,29.25,29.9,5.8,0,1,63.036940118550575
1,2007-06-02,81,65,73.0,63,0.04,29.03,29.77,7.4,1,1,70.87089690607739
2,2007-06-02,81,68,74.5,62,0.0,29.1,29.76,8.2,1,1,65.05342383061097
1,2007-06-03,78,62,70.0,60,0.01,28.82,29.56,6.7,1,1,70.55990715762363
2,2007-06-03,77,64,70.5,60,0.32,28.87,29.54,7.2,1,1,69.36695841447835
1,2007-06-04,71,58,64.5,58,0.39,28.82,29.52,9.7,1,1,79.42985209931773
2,2007-06-04,72,56,64.0,57,0.31,28.88,29.51,10.1,1,1,77.9727683279775
1,2007-06-05,64,47,55.5,48,0.42,29.1,29.79,7.6,1,1,75.81546371687585
2,2007-06-05,63,51,57.0,47,0.27,29.16,29.78,8.1,1,1,69.15818623814671
1,2007-06-06,71,44,57.5,48,0.01,29.07,29.81,11.4,1,0,70.52611901443444
2,2007-06-06,73,48,60.5,47,0.0,29.13,29.82,10.6,1,0,61.01125709678822
1,2007-06-07,91,71,81.0,62,0.0,28.84,29.55,23.1,0,0,52.47550009737232
2,2007-06-07,92,71,81.5,61,0.0,28.91,29.55,20.7,0,0,49.83238532996033
1,2007-06-08,81,57,69.0,53,0.0,29.18,29.85,13.8,0,0,56.686850696229826
2,2007-06-08,81,63,72.0,54,0.0,29.24,29.83,12.4,0,0,53.08915754692025
1,2007-06-09,79,52,65.5,47,0.0,29.36,30.07,5.0,0,0,51.17391359405574
2,2007-06-09,79,57,68.0,49,0.0,29.42,30.05,4.7,0,0,50.59013056579321
1,2007-06-10,81,55,68.0,51,0.0,29.34,30.05,5.6,0,0,54.497276281177406
2,2007-06-10,81,61,71.0,50,0.0,29.39,30.04,5.8,0,0,47.38959457661924
1,2007-06-11,86,58,72.0,52,0.0,29.41,30.11,6.9,0,0,49.33072796792948
2,2007-06-11,85,65,75.0,51,0.0,29.47,30.09,8.4,0,0,42.97700637975792
1,2007-06-12,83,62,72.5,50,0.0,29.44,30.16,8.8,0,0,45.040800148659045
2,2007-06-12,82,66,74.0,51,0.0,29.49,30.14,10.0,0,0,44.44124230610644
1,2007-06-13,87,60,73.5,53,0.0,29.36,30.09,8.6,0,0,48.65321799711319
2,2007-06-13,86,68,77.0,53,0.0,29.28,29.97,8.6,0,0,43.285691086399886
1,2007-06-14,89,64,76.5,55,0.0,29.3,30.02,6.8,0,0,47.34800172422513
2,2007-06-14,89,68,78.5,54,0.0,29.36,30.0,6.4,0,0,42.72881159275025
1,2007-06-15,91,63,77.0,56,0.0,29.28,29.99,4.9,0,0,48.29099965563686
2,2007-06-15,89,67,78.0,56,0.0,29.34,29.97,4.1,0,0,46.71927056208743
1,2007-06-16,93,66,79.5,60,0.0,29.26,29.97,5.8,1,1,51.340847748380135
2,2007-06-16,92,68,80.0,61,0.0,29.33,29.96,6.1,0,1,52.333551547067955
1,2007-06-17,91,70,80.5,64,0.0,29.23,29.95,6.3,0,1,57.225538838781354
2,2007-06-17,91,71,81.0,65,0.16,29.28,29.93,6.1,0,1,58.300877006286115
1,2007-06-18,89,69,79.0,65,0.28,29.12,29.84,15.1,1,1,62.247329201951004
2,2007-06-18,89,73,81.0,65,0.02,29.19,29.83,12.6,1,1,58.300877006286115
1,2007-06-19,80,65,72.5,55,0.58,29.26,29.95,11.4,1,0,54.138063623137214
2,2007-06-19,81,65,73.0,55,0.93,29.31,29.93,11.3,1,1,53.23220547500601
1,2007-06-20,84,61,72.5,52,0.0,29.39,30.1,8.8,0,0,48.50359675412502
2,2007-06-20,85,62,73.5,50,0.0,29.46,30.09,7.7,0,0,43.54766308213417
1,2007-06-21,77,61,69.0,51,0.01,29.36,30.08,10.7,1,0,52.65682980666182
2,2007-06-21,80,66,73.0,51,0.0,29.41,30.06,9.6,1,0,45.9617900026378
1,2007-06-22,76,61,68.5,50,0.0,29.33,30.06,8.7,1,0,51.616410765947215
2,2007-06-22,75,62,68.5,49,0.0,29.39,30.05,8.1,1,0,49.727645884328986
1,2007-06-23,67,62,64.5,58,0.05,29.23,29.96,9.0,1,1,79.42985209931773
2,2007-06-23,68,61,64.5,60,0.34,29.28,29.95,8.1,1,1,85.32080970418542
1,2007-06-24,77,63,70.0,62,0.0,29.26,29.97,8.0,0,1,75.74671784055894
2,2007-06-24,75,65,70.0,62,0.0,29.33,29.96,6.0,0,1,75.74671784055894
1,2007-06-25,89,65,77.0,66,0.0,29.38,30.07,6.8,0,1,68.85131182953751
2,2007-06-25,86,67,76.5,67,0.0,29.44,30.06,5.9,0,1,72.47132413356826
1,2007-06-26,92,70,81.0,69,0.16,29.39,30.11,7.1,0,1,66.9476486991263
2,2007-06-26,91,73,82.0,69,0.0,29.45,30.09,8.1,0,1,64.80371344799588
1,2007-06-27,91,71,81.0,70,0.15,29.29,30.02,8.8,0,0,69.27758930469994
2,2007-06-27,89,71,80.0,69,0.35,29.36,30.0,8.5,1,1,69.17177159414872
1,2007-06-28,74,58,66.0,55,0.0,29.41,30.09,12.5,0,0,67.63664253243361
2,2007-06-28,73,61,67.0,56,0.0,29.43,30.07,13.3,0,0,67.74970265494606
1,2007-06-29,70,56,63.0,55,0.0,29.41,30.13,8.3,0,0,75.11151657294913
2,2007-06-29,71,56,63.5,56,0.0,29.47,30.11,8.2,0,0,76.53334149863042
1,2007-06-30,79,54,66.5,46,0.0,29.41,30.13,5.8,0,0,47.595405414353415
2,2007-06-30,77,58,67.5,49,0.0,29.46,30.11,6.2,0,0,51.46944225761633
1,2007-07-01,75,54,64.5,52,0.0,29.51,30.23,8.6,0,0,63.84736676531237
2,2007-07-01,76,61,68.5,51,0.0,29.56,30.21,9.7,0,0,53.56818071553322
1,2007-07-02,79,53,66.0,50,0.0,29.49,30.22,8.1,0,0,56.27110197801161
2,2007-07-02,77,58,67.5,50,0.0,29.55,30.21,8.5,0,0,53.42436437958427
1,2007-07-03,83,60,71.5,57,0.4,29.31,30.06,7.3,1,1,60.21171984709242
2,2007-07-03,83,63,73.0,56,0.09,29.38,30.05,7.4,1,0,55.200930061577466
1,2007-07-04,86,67,76.5,65,0.16,29.18,29.9,8.2,0,1,67.60972653143484
2,2007-07-04,84,67,75.5,65,0.66,29.23,29.88,8.8,1,1,69.89865929131373
1,2007-07-05,89,71,80.0,60,0.0,29.24,29.94,8.1,0,1,50.506158550756396
2,2007-07-05,88,70,79.0,60,0.0,29.29,29.92,6.9,0,1,52.19109419072684
1,2007-07-06,86,66,76.0,57,0.0,29.32,30.03,5.5,0,0,51.76065673239512
2,2007-07-06,84,68,76.0,57,0.0,29.38,30.01,5.5,0,0,51.76065673239512
1,2007-07-07,90,64,77.0,63,0.0,29.18,29.91,8.6,0,0,61.99943468829765
2,2007-07-07,88,68,78.0,62,0.0,29.24,29.9,8.1,0,0,57.904610033841074
1,2007-07-08,94,75,84.5,67,0.0,29.05,29.77,13.1,0,0,55.7969021402246
2,2007-07-08,93,75,84.0,67,0.0,29.12,29.76,12.7,0,0,56.702052433516606
1,2007-07-09,94,70,82.0,66,0.3,29.11,29.8,8.8,1,0,58.43191052377349
2,2007-07-09,93,72,82.5,67,0.24,29.16,29.79,8.8,1,0,59.518316779623795
1,2007-07-10,89,69,79.0,67,0.43,29.06,29.77,10.5,0,1,66.72333408930567
2,2007-07-10,89,70,79.5,67,0.08,29.13,29.76,10.2,0,1,65.63634255730933
1,2007-07-11,77,62,69.5,51,0.0,29.23,29.93,10.9,0,0,51.762850380194955
2,2007-07-11,77,63,70.0,51,0.0,29.28,29.92,11.2,0,0,50.88587779810227
1,2007-07-12,80,61,70.5,51,0.0,29.22,29.93,11.1,0,0,50.02555574825202
2,2007-07-12,80,60,70.0,51,0.0,29.28,29.92,11.4,0,0,50.88587779810227
1,2007-07-13,78,58,68.0,52,0.0,29.26,29.98,5.3,0,0,56.54882032643535
2,2007-07-13,74,59,66.5,53,0.0,29.33,29.98,5.8,0,0,61.787537758349906
1,2007-07-14,84,61,72.5,55,0.0,29.08,29.79,13.2,0,0,54.138063623137214
2,2007-07-14,85,62,73.5,55,0.0,29.14,29.79,13.9,0,0,52.34334529578098
1,2007-07-15,82,60,71.0,53,0.0,29.19,29.89,4.9,0,0,52.9455799128056
2,2007-07-15,80,64,72.0,52,0.0,29.25,29.88,6.5,0,0,49.33072796792948
1,2007-07-16,82,65,73.5,60,0.39,29.25,29.96,5.2,1,1,62.66783330019442
2,2007-07-16,82,66,74.0,60,0.07,29.31,29.94,6.6,1,0,61.62357940507553
1,2007-07-17,83,68,75.5,66,0.11,29.18,29.9,6.5,1,1,72.37345072022097
2,2007-07-17,83,69,76.0,65,0.11,29.24,29.89,7.4,1,1,68.74348058795903
1,2007-07-18,85,69,77.0,68,1.55,29.11,29.84,10.1,1,1,73.78055835142726
2,2007-07-18,85,69,77.0,69,0.92,29.18,29.83,10.6,1,1,76.35931535226167
1,2007-07-19,83,63,73.0,63,0.16,29.21,29.9,11.9,1,1,70.87089690607739
2,2007-07-19,82,63,72.5,62,0.01,29.26,29.88,14.4,0,1,69.5811722340104
1,2007-07-20,75,58,66.5,53,0.0,29.44,30.14,9.1,0,0,61.787537758349906
2,2007-07-20,74,62,68.0,52,0.0,29.49,30.12,11.5,0,0,56.54882032643535
1,2007-07-21,74,58,66.0,52,0.0,29.51,30.22,7.4,0,0,60.59729912087231
2,2007-07-21,75,58,66.5,52,0.0,29.57,30.21,7.4,0,0,59.55551988593967
1,2007-07-22,81,58,69.5,55,0.0,29.49,30.21,3.3,0,0,59.950900242405545
2,2007-07-22,81,61,71.0,54,0.0,29.54,30.2,3.5,0,0,54.92109027968242
1,2007-07-23,83,60,71.5,55,0.0,29.37,30.1,4.0,0,0,56.00222048782242
2,2007-07-23,82,63,72.5,55,0.0,29.42,30.09,3.9,0,0,54.138063623137214
1,2007-07-24,82,65,73.5,58,0.0,29.32,30.04,5.2,0,0,58.34094575142036
2,2007-07-24,82,65,73.5,57,0.0,29.38,30.03,4.9,0,0,56.27781926065797
1,2007-07-25,85,71,78.0,61,0.0,29.29,30.0,6.6,0,0,55.89116901040809
2,2007-07-25,83,70,76.5,60,0.0,29.35,29.99,7.0,0,0,56.687180813226
1,2007-07-26,83,66,74.5,65,0.19,29.19,29.92,9.4,1,1,72.2750932253844
2,2007-07-26,84,64,74.0,65,0.89,29.25,29.91,9.9,1,1,73.49727560438572
1,2007-07-27,83,70,76.5,68,0.17,29.11,29.82,7.9,1,1,75.0152104143298
2,2007-07-27,83,70,76.5,67,0.04,29.16,29.8,8.1,1,1,72.47132413356826
1,2007-07-28,80,66,73.0,65,0.0,29.23,29.93,10.2,0,1,76.01196932855785
2,2007-07-28,80,70,75.0,65,0.0,29.28,29.91,10.7,0,1,71.07571072806151
1,2007-07-29,85,63,74.0,57,0.0,29.28,29.99,5.7,0,0,55.34004418727664
2,2007-07-29,85,67,76.0,56,0.0,29.34,29.97,6.9,0,0,49.922454287730936
1,2007-07-30,89,62,75.5,55,0.0,29.33,30.03,4.3,0,0,48.95097215202286
2,2007-07-30,86,65,75.5,57,0.0,29.39,30.01,4.6,0,0,52.630452788944936
1,2007-07-31,91,68,79.5,61,0.0,29.33,30.04,4.9,0,0,53.198441124954265
2,2007-07-31,89,69,79.0,60,0.0,29.39,30.02,5.0,0,0,52.19109419072684
1,2007-08-01,92,69,80.5,62,0.0,29.29,30.0,4.1,0,1,53.33914894868109
2,2007-08-01,91,69,80.0,63,0.0,29.34,29.98,3.7,0,0,56.1635566720445
1,2007-08-02,91,70,80.5,66,0.0,29.26,29.97,5.9,0,1,61.358540104975724
2,2007-08-02,91,73,82.0,66,0.0,29.31,29.95,7.2,0,0,58.43191052377349
1,2007-08-03,90,69,79.5,56,0.0,29.31,30.02,5.7,0,0,44.46842691615889
2,2007-08-03,88,73,80.5,58,0.0,29.36,30.0,5.8,0,0,46.25610381161679
1,2007-08-04,81,64,72.5,58,0.03,29.31,30.03,6.1,1,0,60.34130633180935
2,2007-08-04,81,68,74.5,58,0.02,29.36,30.01,6.6,1,0,56.41480948458688
1,2007-08-05,88,67,77.5,71,1.43,29.08,29.81,9.6,1,1,80.41223801016058
2,2007-08-05,88,68,78.0,71,0.97,29.15,29.79,10.2,1,1,79.09417564153422
1,2007-08-06,88,74,81.0,72,0.26,29.13,29.83,4.9,1,1,74.15172617530648
2,2007-08-06,85,75,80.0,72,0.05,29.17,29.81,4.6,1,1,76.61518165278144
1,2007-08-07,91,72,81.5,73,1.31,29.06,29.76,9.0,1,1,75.46023286740171
2,2007-08-07,92,73,82.5,73,0.06,29.11,29.74,8.8,0,0,73.04855660664147
1,2007-08-08,87,73,80.0,71,0.06,29.13,29.83,6.9,1,1,74.05962679431985
2,2007-08-08,87,74,80.5,72,0.09,29.18,29.81,6.4,1,1,75.3721252761256
1,2007-08-09,84,72,78.0,71,0.05,29.13,29.84,6.0,1,0,79.09417564153422
2,2007-08-09,85,73,79.0,71,0.46,29.19,29.82,6.3,0,1,76.53032954125824
1,2007-08-10,86,70,78.0,68,0.0,29.26,29.96,5.9,0,1,71.37921957347292
2,2007-08-10,86,73,79.5,69,0.0,29.32,29.94,5.4,0,0,70.31493773837467
1,2007-08-11,89,67,78.0,65,0.0,29.31,30.02,3.9,0,1,64.33267984899061
2,2007-08-11,88,68,78.0,65,0.0,29.38,30.0,3.9,0,1,64.33267984899061
1,2007-08-12,88,67,77.5,67,0.29,29.34,30.06,5.4,0,0,70.10779456696555
2,2007-08-12,87,68,77.5,67,0.23,29.4,30.04,6.6,0,0,70.10779456696555
1,2007-08-13,81,65,73.0,57,0.0,29.39,30.11,6.9,0,1,57.23349208270923
2,2007-08-13,80,69,74.5,54,0.0,29.44,30.08,7.7,0,0,48.802342875188145
1,2007-08-14,84,65,74.5,67,0.41,29.23,29.93,8.0,1,1,77.47216231506823
2,2007-08-14,84,65,74.5,66,0.45,29.29,29.92,9.0,1,1,74.83402329716446
1,2007-08-15,80,71,75.5,67,0.23,29.17,29.89,5.8,1,1,74.92484667346494
2,2007-08-15,81,72,76.5,69,0.83,29.23,29.87,7.1,1,1,77.63712062140101
1,2007-08-16,77,65,71.0,64,0.0,29.28,29.97,5.7,0,1,78.543897108773
2,2007-08-16,77,67,72.0,65,0.0,29.33,29.95,5.7,0,1,78.62376240366078
1,2007-08-17,79,60,69.5,54,0.0,29.41,30.1,6.8,0,0,57.80364762458574
2,2007-08-17,80,65,72.5,54,0.0,29.46,30.08,7.4,0,0,52.19900852357342
1,2007-08-18,68,59,63.5,54,0.09,29.44,30.16,8.1,1,0,71.16038286386302
2,2007-08-18,69,60,64.5,54,0.42,29.48,30.15,7.0,1,0,68.71179592896523
1,2007-08-19,68,62,65.0,62,1.33,29.24,29.99,7.4,1,1,90.0080801386818
2,2007-08-19,69,62,65.5,63,1.33,29.3,29.98,7.5,1,1,91.62684245355204
1,2007-08-20,78,68,73.0,68,0.91,29.15,29.87,5.7,1,1,84.33777454399561
2,2007-08-20,76,68,72.0,69,0.48,29.21,29.85,5.9,1,1,90.28468000981043
1,2007-08-21,87,69,78.0,70,0.0,29.21,29.91,6.0,0,1,76.44504169240159
2,2007-08-21,85,69,77.0,70,0.01,29.26,29.89,6.0,0,1,79.01680479229573
1,2007-08-22,90,69,79.5,71,0.37,29.23,29.94,9.5,1,0,75.283571997025
2,2007-08-22,90,70,80.0,70,0.88,29.29,29.93,8.4,1,1,71.5791170727178
1,2007-08-23,87,69,78.0,69,2.35,29.15,29.87,11.7,1,1,73.87404566725823
2,2007-08-23,89,70,79.5,69,1.96,29.21,29.86,9.1,1,1,70.31493773837467
1,2007-08-24,80,69,74.5,67,0.24,29.11,29.82,7.1,1,0,77.47216231506823
2,2007-08-24,81,69,75.0,67,0.2,29.16,29.81,7.3,1,1,76.18653608667044
1,2007-08-25,79,64,71.5,63,0.34,29.23,29.93,5.6,1,0,74.55876680832618
2,2007-08-25,76,65,70.5,63,0.25,29.29,29.91,6.4,1,1,77.13703064872199
1,2007-08-26,79,60,69.5,55,0.0,29.38,30.08,5.4,0,0,59.950900242405545
2,2007-08-26,78,61,69.5,55,0.0,29.44,30.07,4.6,0,0,59.950900242405545
1,2007-08-27,79,60,69.5,60,0.0,29.36,30.07,7.4,0,0,71.77594403563046
2,2007-08-27,79,63,71.0,59,0.0,29.41,30.06,7.3,0,0,65.80525853476206
1,2007-08-28,91,67,79.0,66,0.0,29.28,29.99,9.5,0,0,64.45122207118804
2,2007-08-28,90,69,79.5,65,0.0,29.34,29.98,8.3,0,0,61.23325637937073
1,2007-08-29,85,68,76.5,65,0.0,29.34,30.04,8.2,0,0,67.60972653143484
2,2007-08-29,86,69,77.5,64,0.0,29.39,30.02,8.8,0,0,63.158905485562165
1,2007-08-30,75,57,66.0,54,0.0,29.47,30.18,9.9,0,0,65.21411080812129
2,2007-08-30,75,60,67.5,54,0.0,29.51,30.15,10.9,0,0,61.91494916636016
1,2007-08-31,77,57,67.0,52,0.0,29.47,30.19,5.2,0,0,58.53379534850804
2,2007-08-31,76,57,66.5,54,0.0,29.52,30.17,4.6,0,0,64.09296007285535
1,2007-09-01,81,57,69.0,55,0.0,29.49,30.22,5.0,0,0,60.98629282649291
2,2007-09-01,79,60,69.5,56,0.0,29.54,30.2,4.4,0,0,62.16810710507693
1,2007-09-02,85,61,73.0,57,0.0,29.41,30.15,5.0,0,0,57.23349208270923
2,2007-09-02,84,62,73.0,56,0.0,29.47,30.13,6.0,0,0,55.200930061577466
1,2007-09-03,88,66,77.0,61,0.0,29.36,30.09,5.8,0,0,57.7714589924489
2,2007-09-03,88,64,76.0,61,0.0,29.42,30.07,6.2,0,0,59.72319979400966
1,2007-09-04,89,63,76.0,60,0.0,29.28,30.0,4.3,0,0,57.63777364205565
2,2007-09-04,90,67,78.5,59,0.0,29.34,29.99,5.0,0,0,51.196734795781396
1,2007-09-05,90,66,78.0,63,0.0,29.24,29.96,6.5,1,0,59.98153661250495
2,2007-09-05,91,72,81.5,62,0.0,29.31,29.94,6.7,0,0,51.627562827503425
1,2007-09-06,82,73,77.5,67,0.18,29.21,29.92,12.1,1,1,70.10779456696555
2,2007-09-06,84,74,79.0,66,0.08,29.27,29.91,13.0,0,1,64.45122207118804
1,2007-09-07,84,70,77.0,68,0.19,29.15,29.85,13.9,1,1,73.78055835142726
2,2007-09-07,84,71,77.5,67,0.67,29.21,29.84,13.0,1,1,70.10779456696555
1,2007-09-08,78,64,71.0,57,0.0,29.3,30.0,7.2,0,0,61.24285092838859
2,2007-09-08,78,68,73.0,58,0.0,29.34,29.98,9.4,0,0,59.331653227294
1,2007-09-09,80,63,71.5,59,0.0,29.36,30.06,9.9,0,0,64.6973112991367
2,2007-09-09,79,63,71.0,59,0.0,29.41,30.03,10.9,0,0,65.80525853476206
1,2007-09-10,74,54,64.0,58,0.36,29.3,30.04,9.0,1,1,80.83122457253185
2,2007-09-10,73,55,64.0,59,0.25,29.34,30.01,9.7,1,0,83.78150430151231
1,2007-09-11,71,50,60.5,44,0.0,29.2,29.92,13.5,0,0,54.44725062229963
2,2007-09-11,71,51,61.0,44,0.0,29.26,29.91,13.7,0,0,53.489222585624475
1,2007-09-12,67,46,56.5,42,0.0,29.4,30.12,5.6,0,0,58.20086490052929
2,2007-09-12,66,46,56.0,43,0.0,29.46,30.11,6.0,0,0,61.5869532980018
1,2007-09-13,78,50,64.0,45,0.0,29.23,29.99,8.5,0,0,49.99235094090568
2,2007-09-13,79,53,66.0,43,0.0,29.3,29.98,7.7,0,0,43.19591684569223
1,2007-09-14,66,45,55.5,39,0.0,29.36,30.05,13.4,0,0,53.71810109430375
2,2007-09-14,67,47,57.0,40,0.0,29.41,30.04,13.0,0,0,52.900984227741645
1,2007-09-15,61,39,50.0,33,0.0,29.56,30.28,5.9,0,0,51.8498399585023
2,2007-09-15,62,42,52.0,35,0.0,29.62,30.28,6.6,0,0,52.153011439233396
1,2007-09-16,71,44,57.5,40,0.0,29.46,30.19,7.4,0,0,51.95618105356584
2,2007-09-16,72,49,60.5,38,0.0,29.52,30.2,8.2,0,0,43.16236050534762
1,2007-09-17,80,52,66.0,49,0.0,29.39,30.12,12.1,0,0,54.212011086396494
2,2007-09-17,80,55,67.5,48,0.0,29.46,30.12,11.0,0,0,49.577918169765866
1,2007-09-18,88,63,75.5,58,0.0,29.34,30.06,13.1,0,0,54.55986801498229
2,2007-09-18,89,66,77.5,57,0.0,29.41,30.05,12.8,0,0,49.246747052743665
1,2007-09-19,84,65,74.5,59,0.0,29.41,30.11,9.7,0,0,58.473908177163544
2,2007-09-19,84,68,76.0,59,0.0,29.47,30.09,9.0,0,0,55.61666948175095
1,2007-09-20,78,60,69.0,59,0.0,29.39,30.12,6.6,0,0,70.4552272678883
2,2007-09-20,76,63,69.5,59,0.0,29.44,30.1,6.1,0,0,69.25907619127013
1,2007-09-21,88,64,76.0,59,0.0,29.18,29.9,12.4,0,1,55.61666948175095
2,2007-09-21,90,68,79.0,59,0.0,29.23,29.89,11.5,0,1,50.36098121213036
1,2007-09-22,74,51,62.5,43,0.0,29.42,30.12,6.8,0,0,48.82151451883306
2,2007-09-22,72,58,65.0,45,0.0,29.48,30.1,7.7,0,0,48.27573196984521
1,2007-09-23,84,50,67.0,50,0.0,29.43,30.16,5.3,0,0,54.354917050774056
2,2007-09-23,83,55,69.0,50,0.0,29.49,30.15,6.4,0,0,50.738265153460794
1,2007-09-24,90,68,79.0,63,0.0,29.27,29.99,11.9,0,0,58.03722873540538
2,2007-09-24,91,71,81.0,62,0.0,29.34,29.98,10.5,0,0,52.47550009737232
